subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (5).jpg,0.38494679023086537,0.519449855910713,0.6317545572916666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (6).jpg,0.4658417415085421,0.6287544031436596,0.6540256076388888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (7).jpg,0.36141914238815276,0.5223244863255916,0.5489908854166666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (8).jpg,0.4110036886262158,0.559442291804667,0.6350640190972222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (9).jpg,0.4930110719004602,0.659231951219964,0.6639268663194444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (10).jpg,0.4164741268458233,0.577012391815803,0.6141221788194444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (11).jpg,0.47731351645831216,0.4954854914784066,0.9449055989583334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (12).jpg,0.48335862571166444,0.5046247424943788,0.9486219618055556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (13).jpg,0.49341618328828757,0.5122083794386132,0.9653862847222222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (14).jpg,0.4928693535110362,0.5113107439337371,0.9651692708333334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (15).jpg,0.4913148101035686,0.5100573516494634,0.9627007378472222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (16).jpg,0.48614698919695765,0.5087393540886291,0.9504123263888888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (17).jpg,0.506244762210591,0.5367861885790173,0.9645182291666666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (18).jpg,0.4844937214965044,0.5027529756272064,0.9543728298611112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (19).jpg,0.484568315393953,0.49737345513032993,0.9620496961805556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (20).jpg,0.3053368092036439,0.466265087239313,0.4707573784722222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (21).jpg,0.31126918107076074,0.47155713752844963,0.4808213975694444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (1).jpg,0.7449378916010398,0.8342533077028369,0.971923828125,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (2).jpg,0.7955240337860043,0.8751859563739381,0.9737141927083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (3).jpg,0.754389616991419,0.8408765075084057,0.9801974826388888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (4).jpg,0.7353627121706913,0.826676306531547,0.9676649305555556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (5).jpg,0.8685974768418151,0.9267385917067974,0.9698079427083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (6).jpg,0.8084038070819657,0.8849496058643536,0.9731716579861112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (7).jpg,0.7528526054444078,0.84071348160996,0.9738226996527778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (8).jpg,0.7398374111729245,0.8284973685611488,0.9785698784722222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (9).jpg,0.7563277328839713,0.8432121659672576,0.9763726128472222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (10).jpg,0.7452342743418396,0.8338873238723408,0.9752332899305556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
